公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
688137,近岸蛋白,10.71,74.94,223.32,--,-176.59,5.94,29.88,40.04,123.96,97.13
600530,*ST交昂,4.17,11.21,-8.98,-39.62,9.72,32.45,32.56,44.05,31.43,22.74
688247,宣泰医药,10.59,21.22,25.13,1.15,-14.51,11.64,18.55,23.88,16.91,9.60
300485,赛升药业,6.18,13.47,5.66,5.72,11.66,4.40,3.48,4.72,3.36,7.43
688177,百奥泰,-26.01,4.00,-26.35,-110.08,-774.82,26.26,20.26,16.19,37.83,21.50
301230,泓博医药,13.38,24.06,19.41,26.81,6.02,14.48,37.53,24.85,30.59,20.00
603590,康辰药业,3.49,5.02,6.51,10.25,14.79,6.85,7.14,18.54,14.05,15.05
688278,特宝生物,22.41,16.79,12.69,12.10,3.26,20.41,18.46,16.13,28.65,29.46
600645,中源协和,3.23,4.52,-3.76,1.64,2.18,30.86,29.81,28.22,29.21,32.84
688382,益方生物-U,-37.63,-42.22,-505.15,242.49,510.34,5.41,14.37,4.42,103.54,1028.16
518,四环生物,-8.39,-5.71,4.35,2.36,-4.80,19.59,19.08,16.83,27.90,30.57
688062,迈威生物-U,-26.24,-63.62,-44.82,-121.42,792.50,24.00,36.77,10.28,29.36,114.76
300683,海特生物,-0.61,1.52,-1.44,3.65,5.45,13.72,13.14,21.11,18.85,20.68
600161,天坛生物,10.46,11.11,15.10,16.72,15.51,12.24,11.32,20.03,18.01,14.21
688506,百利天恒-U,-148.11,-25.50,8.69,1.83,7.89,53.10,65.12,56.61,60.74,59.91
300239,东宝生物,7.42,2.94,1.86,3.74,4.61,23.93,24.08,29.60,24.74,37.36
688265,南模生物,-0.31,21.33,20.79,18.79,14.45,14.01,9.18,28.59,38.10,41.50
300204,舒泰神,-13.60,-8.79,-8.28,1.36,5.80,18.90,15.12,14.48,12.20,11.34
2252,上海莱士,6.87,5.08,5.83,5.43,-12.99,5.40,4.89,1.43,3.05,4.35
300122,智飞生物,36.13,78.01,46.29,47.67,40.78,36.23,41.24,45.79,47.48,38.61
301047,义翘神州,4.74,22.25,157.53,32.90,60.94,3.06,2.00,11.36,19.95,25.24
688276,百克生物,5.21,9.32,29.32,24.29,19.27,16.90,18.13,27.86,36.02,43.31
300841,康华生物,20.97,35.55,32.15,40.49,57.86,17.12,11.52,8.07,16.61,24.35
688180,君实生物-U,-32.65,-10.86,-41.58,-22.58,-72.97,22.15,24.64,27.13,32.50,22.03
600223,福瑞达,1.01,8.34,20.03,13.31,6.32,90.48,89.42,89.40,91.62,94.09
688336,三生国健,1.08,0.40,-6.03,7.22,12.18,9.79,7.15,8.75,12.54,11.53
688136,科兴制药,-4.87,5.16,18.17,22.95,19.04,42.83,32.46,22.67,40.99,42.12
301393,昊帆生物,30.63,35.18,17.65,39.11,37.60,19.63,19.89,19.40,13.28,9.25
688687,凯因科技,4.95,7.14,9.33,7.87,7.09,23.89,22.51,27.18,26.67,19.60
301207,华兰疫苗,10.64,24.86,53.63,34.93,35.93,22.32,37.92,40.05,29.65,35.17
688426,康为世纪,19.82,26.39,50.25,15.23,13.82,8.12,15.49,7.10,22.14,27.01
2880,卫光生物,6.52,12.21,12.53,12.43,12.58,27.50,10.74,11.57,8.62,10.50
688520,神州细胞-U,--,-475.87,-227.33,-433.71,-680.93,108.85,116.82,64.63,95.69,104.42
300009,安科生物,23.82,7.47,13.28,5.20,14.95,20.06,20.86,16.44,16.31,20.41
301301,川宁生物,8.27,2.36,5.04,2.08,9.63,40.23,49.51,52.97,55.22,54.10
300142,沃森生物,8.23,5.82,18.12,3.01,26.99,28.34,26.88,18.58,19.26,27.38
688373,盟科药业-U,-29.52,-42.75,-162.80,--,--,18.91,32.41,7.28,173.69,132.88
403,派林生物,8.90,7.03,21.16,22.28,13.38,14.05,10.72,42.44,36.96,52.90
430047,诺思兰德,-32.07,-20.45,-32.73,-42.68,-50.90,30.75,20.19,12.05,31.64,74.35
2007,华兰生物,11.11,16.47,23.39,19.89,22.36,17.17,21.44,19.31,9.22,11.10
603087,甘李药业,-4.45,15.24,17.01,23.88,24.55,9.63,6.32,5.99,9.22,9.04
300357,我武生物,18.77,21.45,20.55,26.04,26.63,7.77,7.01,4.77,5.34,5.91
