地域名称,公司代码,公司名称
安徽板块,301519,舜禹股份
安徽板块,600318,新力金融
安徽板块,688630,芯碁微装
安徽板块,000728,国元证券
安徽板块,600909,华安证券
安徽板块,688582,芯动联科
安徽板块,688639,华恒生物
安徽板块,300452,山河药辅
安徽板块,300783,三只松鼠
安徽板块,603198,迎驾贡酒
安徽板块,600808,马钢股份
安徽板块,300595,欧普康视
安徽板块,002208,合肥城建
安徽板块,300274,阳光电源
安徽板块,600199,金种子酒
安徽板块,301408,华人健康
安徽板块,002557,洽洽食品
安徽板块,300009,安科生物
安徽板块,002817,黄山胶囊
安徽板块,000850,华茂股份
安徽板块,605108,同庆楼
安徽板块,002074,国轩高科
安徽板块,600567,山鹰国际
安徽板块,002597,金禾实业
安徽板块,000153,丰原药业
安徽板块,300087,荃银高科
安徽板块,002298,中电兴发
安徽板块,688219,会通股份
安徽板块,603589,口子窖
安徽板块,600971,恒源煤电
安徽板块,002230,科大讯飞
安徽板块,002571,德力股份
安徽板块,000521,长虹美菱
安徽板块,603801,志邦家居
安徽板块,000713,丰乐种业
安徽板块,600585,海螺水泥
安徽板块,300956,英力股份
安徽板块,603429,集友股份
安徽板块,300247,融捷健康
安徽板块,000930,中粮科技
安徽板块,688249,晶合集成
安徽板块,000596,古井贡酒
安徽板块,000417,合肥百货
安徽板块,600985,淮北矿业
安徽板块,300088,长信科技
安徽板块,600520,文一科技
安徽板块,600983,惠而浦
安徽板块,002140,东华科技
安徽板块,003027,同兴环保
安徽板块,688551,科威尔
安徽板块,870357,雅葆轩
安徽板块,831856,浩淼科技
安徽板块,688679,通源环境
安徽板块,601606,长城军工
安徽板块,600575,淮河能源
安徽板块,600496,精工钢构
安徽板块,600063,皖维高新
安徽板块,430718,合肥高科
安徽板块,430489,佳先股份
安徽板块,002607,中公教育
安徽板块,002042,华孚时尚
安徽板块,002014,永新股份
安徽板块,603031,安孚科技
安徽板块,600761,安徽合力
安徽板块,002136,安 纳 达
安徽板块,300134,大富科技
安徽板块,002556,辉隆股份
安徽板块,688027,国盾量子
安徽板块,600054,黄山旅游
安徽板块,832000,安徽凤凰
安徽板块,600012,皖通高速
安徽板块,603689,皖天然气
安徽板块,601918,新集能源
安徽板块,002690,美亚光电
安徽板块,601801,皖新传媒
安徽板块,603815,交建股份
安徽板块,430478,峆一药业
安徽板块,603356,华菱精工
安徽板块,300815,玉禾田
安徽板块,600990,四创电子
安徽板块,600502,安徽建工
安徽板块,603199,九华旅游
安徽板块,300577,开润股份
安徽板块,001226,拓山重工
安徽板块,300520,科大国创
安徽板块,000619,海螺新材
安徽板块,300877,金春股份
安徽板块,688610,埃科光电
安徽板块,002743,富煌钢构
安徽板块,300929,华骐环保
安徽板块,600935,华塑股份
安徽板块,002171,楚江新材
安徽板块,603599,广信股份
安徽板块,835892,中科美菱
安徽板块,688733,壹石通
安徽板块,603357,设计总院
安徽板块,300883,龙利得
安徽板块,000630,铜陵有色
安徽板块,001217,华尔泰
安徽板块,301321,翰博高新
安徽板块,688768,容知日新
安徽板块,300388,节能国祯
安徽板块,002538,司尔特
安徽板块,688162,巨一科技
安徽板块,002969,嘉美包装
安徽板块,603527,众源新材
安徽板块,300835,龙磁科技
安徽板块,603308,应流股份
安徽板块,002226,江南化工
安徽板块,001282,三联锻造
安徽板块,688586,江航装备
安徽板块,002057,中钢天源
安徽板块,001230,劲旅环境
安徽板块,688403,汇成股份
安徽板块,603011,合锻智能
安徽板块,600218,全柴动力
安徽板块,301049,超越科技
安徽板块,600237,铜峰电子
安徽板块,688352,颀中科技
安徽板块,600551,时代出版
安徽板块,003038,鑫铂股份
安徽板块,300692,中环环保
安徽板块,002555,三七互娱
安徽板块,002331,皖通科技
安徽板块,688486,龙迅股份
安徽板块,603150,万朗磁塑
安徽板块,688077,大地熊
安徽板块,002541,鸿路钢构
安徽板块,000859,国风新材
安徽板块,688600,皖仪科技
安徽板块,002983,芯瑞达
安徽板块,600444,国机通用
安徽板块,301234,五洲医疗
安徽板块,605189,富春染织
安徽板块,002361,神剑股份
安徽板块,301297,富乐德
安徽板块,300218,安利股份
安徽板块,688419,耐科装备
安徽板块,002005,ST德豪
安徽板块,000543,皖能电力
安徽板块,003020,立方制药
安徽板块,301167,建研设计
安徽板块,301429,森泰股份
安徽板块,603768,常青股份
安徽板块,600375,汉马科技
安徽板块,688251,井松智能
安徽板块,300862,蓝盾光电
安徽板块,871981,晶赛科技
安徽板块,000887,中鼎股份
安徽板块,688367,工大高科
安徽板块,600255,鑫科材料
安徽板块,000868,安凯客车
安徽板块,002347,泰尔股份
安徽板块,301108,洁雅股份
安徽板块,600418,江淮汽车
安徽板块,600552,凯盛科技
安徽板块,300344,立方数科
安徽板块,300886,华业香料
安徽板块,301129,瑞纳智能
安徽板块,688416,恒烁股份
安徽板块,603110,东方材料
安徽板块,001311,多利科技
安徽板块,603656,泰禾智能
安徽板块,002997,瑞鹄模具
安徽板块,603596,伯特利
安徽板块,301217,铜冠铜箔
安徽板块,688165,埃夫特-U
安徽板块,688659,元琛科技
安徽板块,300816,艾可蓝
安徽板块,600470,六国化工
安徽板块,300475,香农芯创
安徽板块,600577,精达股份
北京板块,300803,指南针
北京板块,301333,诺思格
北京板块,601136,首创证券
北京板块,600743,华远地产
北京板块,688621,阳光诺和
北京板块,837592,华信永道
北京板块,300759,康龙化成
北京板块,601059,信达证券
北京板块,000996,*ST中期
北京板块,872808,曙光数创
北京板块,300485,赛升药业
北京板块,688569,铁科轨道
北京板块,601336,新华保险
北京板块,600376,首开股份
北京板块,603590,康辰药业
北京板块,300045,华力创通
北京板块,600511,国药股份
北京板块,601628,中国人寿
北京板块,301208,中亦科技
北京板块,002658,雪迪龙
北京板块,600159,大龙地产
北京板块,688458,美芯晟
北京板块,301080,百普赛斯
北京板块,300662,科锐国际
北京板块,601995,中金公司
北京板块,300958,建工修复
北京板块,000609,中迪投资
北京板块,300406,九强生物
北京板块,600085,同仁堂
北京板块,600859,王府井
北京板块,601066,中信建投
北京板块,600155,华创云信
北京板块,002310,东方园林
北京板块,600161,天坛生物
北京板块,600266,城建发展
北京板块,002893,京能热力
北京板块,601881,中国银河
北京板块,688658,悦康药业
北京板块,603127,昭衍新药
北京板块,300204,舒泰神
北京板块,601319,中国人保
北京板块,300661,圣邦股份
北京板块,300016,北陆药业
北京板块,601985,中国核电
北京板块,000065,北方国际
北京板块,300663,科蓝软件
北京板块,601198,东兴证券
北京板块,301047,义翘神州
北京板块,688047,龙芯中科
北京板块,688066,航天宏图
北京板块,002657,中科金财
北京板块,600657,信达地产
北京板块,688356,键凯科技
北京板块,600056,中国医药
北京板块,600429,三元股份
北京板块,600195,中牧股份
北京板块,300465,高伟达
北京板块,833429,康比特
北京板块,002755,奥赛康
北京板块,002271,东方雨虹
北京板块,301380,挖金客
北京板块,688349,三一重能
北京板块,000798,中水渔业
北京板块,300773,拉卡拉
北京板块,688246,嘉和美康
北京板块,600463,空港股份
北京板块,000666,经纬纺机
北京板块,600791,京能置业
北京板块,300073,当升科技
北京板块,601898,中煤能源
北京板块,600246,万通发展
北京板块,603123,翠微股份
北京板块,688562,航天软件
北京板块,688687,凯因科技
北京板块,000046,*ST泛海
北京板块,688169,石头科技
北京板块,601988,中国银行
北京板块,002462,嘉事堂
北京板块,300318,博晖创新
北京板块,300071,福石控股
北京板块,300825,阿尔特
北京板块,600011,华能国际
北京板块,836208,青矩技术
北京板块,300887,谱尼测试
北京板块,688520,神州细胞-U
北京板块,603613,国联股份
北京板块,601669,中国电建
北京板块,002051,中工国际
北京板块,601588,北辰实业
北京板块,600886,国投电力
北京板块,601288,农业银行
北京板块,300688,创业黑马
北京板块,601169,北京银行
北京板块,601398,工商银行
北京板块,601089,福元医药
北京板块,430047,诺思兰德
北京板块,600405,动力源
北京板块,300289,利德曼
北京板块,300386,飞天诚信
北京板块,688068,热景生物
北京板块,601658,邮储银行
北京板块,600288,大恒科技
北京板块,600016,民生银行
北京板块,688009,中国通号
北京板块,600588,用友网络
北京板块,603087,甘李药业
北京板块,600861,北京人力
北京板块,601818,光大银行
北京板块,601888,中国中免
北京板块,600062,华润双鹤
北京板块,300444,双杰电气
北京板块,301367,怡和嘉业
北京板块,605305,中际联合
北京板块,002987,京北方
北京板块,600015,华夏银行
北京板块,002599,盛通股份
北京板块,601886,江河集团
北京板块,600031,三一重工
北京板块,002038,双鹭药业
北京板块,688485,九州一轨
北京板块,601868,中国能建
北京板块,003007,直真科技
北京板块,600730,中国高科
北京板块,688613,奥精医疗
北京板块,688256,寒武纪-U
北京板块,601186,中国铁建
北京板块,688468,科美诊断
北京板块,000729,燕京啤酒
北京板块,300251,光线传媒
北京板块,600007,中国国贸
北京板块,601998,中信银行
北京板块,601939,建设银行
北京板块,600372,中航电子
北京板块,002186,全 聚 德
北京板块,601668,中国建筑
北京板块,300065,海兰信
北京板块,600313,农发种业
北京板块,600138,中青旅
北京板块,300542,新晨科技
北京板块,603927,中科软
北京板块,601117,中国化学
北京板块,000402,金 融 街
北京板块,000860,顺鑫农业
北京板块,300072,海新能科
北京板块,688111,金山办公
北京板块,300674,宇信科技
北京板块,600206,有研新材
北京板块,603818,曲美家居
北京板块,000725,京东方Ａ
北京板块,002439,启明星辰
北京板块,002279,久其软件
北京板块,002642,荣联科技
北京板块,830879,基康仪器
北京板块,600980,北矿科技
北京板块,002065,东华软件
北京板块,832145,恒合股份
北京板块,002385,大北农
北京板块,300612,宣亚国际
北京板块,601989,中国重工
北京板块,688369,致远互联
北京板块,601992,金隅集团
北京板块,600855,航天长峰
北京板块,300384,三联虹普
北京板块,300896,爱美客
北京板块,601908,京运通
北京板块,600299,安迪苏
北京板块,300075,数字政通
北京板块,601800,中国交建
北京板块,301175,中科环保
北京板块,000931,中 关 村
北京板块,600900,长江电力
北京板块,603616,韩建河山
北京板块,601718,际华集团
北京板块,835508,殷图网联
北京板块,002153,石基信息
北京板块,002985,北摩高科
北京板块,688198,佰仁医疗
北京板块,300430,诚益通
北京板块,600977,中国电影
北京板块,603377,东方时尚
北京板块,002933,新兴装备
北京板块,603392,万泰生物
北京板块,300003,乐普医疗
北京板块,001289,龙源电力
北京板块,601390,中国中铁
北京板块,603825,华扬联众
北京板块,688570,天玛智控
北京板块,601698,中国卫通
北京板块,600271,航天信息
北京板块,603098,森特股份
北京板块,001213,中铁特货
北京板块,833819,颖泰生物
北京板块,601111,中国国航
北京板块,603903,中持股份
北京板块,836263,中航泰达
北京板块,601598,中国外运
北京板块,430017,星昊医药
北京板块,688561,奇安信-U
北京板块,600905,三峡能源
北京板块,600118,中国卫星
北京板块,002371,北方华创
北京板块,300048,合康新能
北京板块,002573,清新环境
北京板块,002148,北纬科技
北京板块,002649,博彦科技
北京板块,688316,青云科技-U
北京板块,688015,交控科技
北京板块,603986,兆易创新
北京板块,603588,高能环境
北京板块,600528,中铁工业
北京板块,688651,盛邦安全
北京板块,300860,锋尚文化
北京板块,605599,菜百股份
