公司名称,公司代码,高管姓名,高管性别,高管年龄,高管学历,高管薪酬,高管职务
新华保险,601336,张泓,男,59,本科,232.8万,"董事长,总裁,法定代表人,执行董事"
新华保险,601336,李全,男,60,硕士,279.8万,"首席执行官,执行董事"
新华保险,601336,龚兴峰,男,53,硕士,180.7万,"副总裁,董事会秘书,总精算师"
新华保险,601336,王练文,男,55,博士,146.6万,副总裁
新华保险,601336,杨征,男,53,硕士,220.2万,"副总裁,首席财务官"
新华保险,601336,秦泓波,男,--,博士,181.9万,副总裁
新华保险,601336,胡爱民,男,50,本科,--,非执行董事
新华保险,601336,李琦强,男,52,硕士,--,非执行董事
新华保险,601336,杨毅,男,50,硕士,--,非执行董事
新华保险,601336,杨雪,女,49,硕士,--,非执行董事
新华保险,601336,何兴达,男,44,硕士,--,非执行董事
新华保险,601336,耿建新,男,69,博士,32.00万,独立董事
新华保险,601336,马耀添,男,69,博士,27.00万,独立董事
新华保险,601336,郭永清,男,49,博士,--,独立董事
新华保险,601336,赖观荣,男,61,博士,--,独立董事
新华保险,601336,徐徐,女,45,博士,--,独立董事
新华保险,601336,刘德斌,男,56,硕士,--,"监事会主席,股东代表监事"
新华保险,601336,余建南,男,50,本科,--,股东代表监事
新华保险,601336,汪中柱,男,56,本科,160.1万,职工监事
新华保险,601336,刘崇松,男,58,硕士,277.5万,职工监事
中国人寿,601628,白涛,男,60,博士,--,"董事长,法定代表人,执行董事"
中国人寿,601628,赵鹏,男,51,硕士,--,"总裁,执行董事"
中国人寿,601628,刘晖,女,53,硕士,--,副总裁
中国人寿,601628,黄秀美,女,56,本科,214.6万,副总裁
中国人寿,601628,詹忠,男,55,本科,167.9万,副总裁
中国人寿,601628,杨红,女,56,硕士,165.7万,副总裁
中国人寿,601628,阮琦,男,57,硕士,165.7万,"副总裁,首席信息技术执行官,首席风险官"
中国人寿,601628,利明光,男,54,硕士,168.6万,"副总裁,执行董事,总精算师"
中国人寿,601628,赵国栋,男,56,大学学历,128.2万,"董事会秘书,总裁助理"
中国人寿,601628,赵峰,男,51,本科,--,非执行董事
中国人寿,601628,盛和泰,男,53,博士,--,非执行董事
中国人寿,601628,吴少华,男,59,硕士,--,非执行董事
中国人寿,601628,王军辉,男,52,博士,--,非执行董事
中国人寿,601628,卓美娟,女,59,硕士,--,非执行董事
中国人寿,601628,于胜全,男,58,硕士,--,非执行董事
中国人寿,601628,林志权,男,70,大学学历,42.00万,独立董事
中国人寿,601628,陈洁,女,53,博士,17.50万,独立董事
中国人寿,601628,黄益平,男,59,博士,17.50万,独立董事
中国人寿,601628,翟海涛,男,54,硕士,42.00万,独立董事
中国人寿,601628,曹伟清,男,58,硕士,14.20万,"监事会主席,职工代表监事"
中国人寿,601628,牛凯龙,男,49,博士,--,非职工代表监事
中国人寿,601628,来军,男,59,本科,113.4万,职工代表监事
中国人寿,601628,叶映兰,女,49,博士,--,职工代表监事
中国人寿,601628,刘凤基,男,54,硕士,76.01万,审计责任人
中国人寿,601628,许崇苗,男,54,博士,106.8万,合规负责人
中国人寿,601628,刘月进,男,56,本科,99.36万,总裁助理
中国人寿,601628,胡锦,女,52,硕士,--,财务负责人
中国人寿,601628,白凯,男,49,硕士,69.68万,总裁助理
中国太保,601601,孔庆伟,男,63,硕士,133.3万,"董事长,法定代表人,执行董事"
中国太保,601601,傅帆,男,59,硕士,148.9万,"总裁,执行董事"
中国太保,601601,黄迪南,男,57,硕士,--,"副董事长,非执行董事"
中国太保,601601,俞斌,男,54,硕士,136.1万,副总裁
中国太保,601601,马欣,男,50,硕士,137.3万,副总裁
中国太保,601601,苏少军,男,55,博士,307.0万,董事会秘书
中国太保,601601,吴俊豪,男,58,硕士,--,非执行董事
