行业名称,行业链接
保险,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0474
包装材料,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0733
半导体,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1036
玻璃玻纤,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0546
船舶制造,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0729
采掘行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1017
多元金融,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0738
电池,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1033
电机,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1030
电力行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0428
电网设备,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0457
电源设备,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1034
电子化学品,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1039
电子元件,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0459
房地产服务,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1045
房地产开发,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0451
纺织服装,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0436
非金属材料,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1020
风电设备,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1032
光伏设备,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1031
光学光电子,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1038
公用事业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0427
工程建设,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0425
工程机械,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0739
工程咨询服务,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0726
贵金属,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0732
钢铁行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0479
互联网服务,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0447
化肥行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0731
化纤行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0471
化学原料,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1019
化学制品,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0538
化学制药,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0465
环保行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0728
航空机场,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0420
航天航空,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0480
航运港口,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0450
交运设备,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0429
家电行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0456
家用轻工,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0440
教育,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0740
计算机设备,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0735
旅游酒店,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0485
煤炭行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0437
美容护理,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1035
贸易行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0484
农牧饲渔,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0433
农药兽药,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0730
能源金属,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1015
酿酒行业,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0477
汽车服务,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1016
