公司名称,公司代码,股东名称,持股比例
新华保险,601336,中央汇金投资有限责任公司,31.34%
新华保险,601336,HKSCC Nominees Limited(香港中央结算(代理人)有限公司),31.18%
新华保险,601336,中国宝武钢铁集团有限公司,12.09%
新华保险,601336,中国证券金融股份有限公司,2.99%
新华保险,601336,华宝投资有限公司,1.94%
新华保险,601336,香港中央结算有限公司,1.54%
新华保险,601336,中央汇金资产管理有限责任公司,0.91%
新华保险,601336,科华天元(天津)商业运营管理有限公司,0.45%
新华保险,601336,胡茂响,0.32%
新华保险,601336,国信证券股份有限公司-方正富邦中证保险主题指数型证券投资基金,0.30%
中国人寿,601628,中国人寿保险(集团)公司,68.37%
中国人寿,601628,HKSCC Nominees Limited,25.92%
中国人寿,601628,中国证券金融股份有限公司,2.51%
中国人寿,601628,中央汇金资产管理有限责任公司,0.41%
中国人寿,601628,香港中央结算有限公司,0.15%
中国人寿,601628,国信证券股份有限公司-方正富邦中证保险主题指数型证券投资基金,0.07%
中国人寿,601628,中国工商银行-上证50交易型开放式指数证券投资基金,0.05%
中国人寿,601628,中国国际电视总公司,0.04%
中国人寿,601628,全国社保基金一一四组合,0.03%
中国人寿,601628,中国核工业集团资本控股有限公司,0.03%
中国太保,601601,香港中央结算(代理人)有限公司,28.82%
中国太保,601601,申能(集团)有限公司,14.05%
中国太保,601601,华宝投资有限公司,13.35%
中国太保,601601,上海国有资产经营有限公司,6.34%
中国太保,601601,上海海烟投资管理有限公司,4.87%
中国太保,601601,香港中央结算有限公司,3.38%
中国太保,601601,中国证券金融股份有限公司,2.82%
中国太保,601601,上海国际集团有限公司,1.66%
中国太保,601601,"Citibank, National Association",1.55%
中国太保,601601,中国国有企业结构调整基金股份有限公司,1.20%
天茂集团,000627,新理益集团有限公司,44.56%
天茂集团,000627,王薇,11.25%
天茂集团,000627,刘益谦,10.47%
天茂集团,000627,民生加银基金-平安银行-民生加银鑫牛定向增发76号资产管理计划-民生中信建投南京5号定向资产管理计划,2.51%
天茂集团,000627,王扬超,1.42%
天茂集团,000627,招商证券股份有限公司,1.33%
天茂集团,000627,香港中央结算有限公司,0.92%
天茂集团,000627,陈世辉,0.50%
天茂集团,000627,中信证券股份有限公司,0.32%
天茂集团,000627,唐伟,0.31%
中国人保,601319,中华人民共和国财政部,60.84%
中国人保,601319,香港中央结算(代理人)有限公司,19.68%
中国人保,601319,全国社会保障基金理事会,12.68%
中国人保,601319,香港中央结算有限公司,0.86%
中国人保,601319,孔凤全,0.10%
中国人保,601319,国信证券股份有限公司-方正富邦中证保险主题指数型证券投资基金,0.08%
中国人保,601319,鹏华基金管理有限公司-社保基金16051组合,0.05%
中国人保,601319,招商银行股份有限公司-华安安进灵活配置混合型发起式证券投资基金,0.05%
中国人保,601319,平安资管-工商银行-平安资产鑫享27号资产管理产品,0.04%
中国人保,601319,邱家俊,0.04%
中国平安,601318,香港中央结算(代理人)有限公司,36.85%
中国平安,601318,深圳市投资控股有限公司,5.27%
中国平安,601318,香港中央结算有限公司,4.80%
中国平安,601318,中国证券金融股份有限公司,2.99%
中国平安,601318,商发控股有限公司,2.58%
中国平安,601318,中央汇金资产管理有限责任公司,2.57%
中国平安,601318,中国平安保险(集团)股份有限公司长期服务计划,1.92%
中国平安,601318,深业集团有限公司,1.41%
中国平安,601318,Plenty Ace Investments (SPV) Limited,1.20%
中国平安,601318,大成基金-农业银行-大成中证金融资产管理计划,1.10%
华源控股,002787,李志聪,34.22%
华源控股,002787,李炳兴,11.93%
华源控股,002787,苏州华源控股股份有限公司回购专用证券账户,4.02%
华源控股,002787,陆杏珍,0.78%
华源控股,002787,上海瑰铄资产管理中心(有限合伙)-瑰铄专户一号私募证券投资基金,0.74%
华源控股,002787,周原,0.64%
华源控股,002787,左凤先,0.62%
华源控股,002787,陆林才,0.60%
华源控股,002787,沈华加,0.57%
华源控股,002787,元龙嘉利(上海)投资合伙企业(有限合伙),0.53%
方大新材,838163,杨志,63.61%
方大新材,838163,贾鸿连,4.03%
方大新材,838163,黄超,3.67%
方大新材,838163,石家庄汇同企业管理中心(有限合伙),3.51%
方大新材,838163,蒋跃敏,1.69%
方大新材,838163,宁波梅山保税港区盛润隆源股权投资合伙企业(有限合伙),1.31%
方大新材,838163,徐红兵,1.05%
方大新材,838163,刘家玮,0.82%
方大新材,838163,谢信辉,0.62%
方大新材,838163,上海惠畅投资管理合伙企业(有限合伙)-嘉兴玉冠弘仁股权投资基金合伙企业(有限合伙),0.48%
盛通股份,002599,栗延秋,21.34%
盛通股份,002599,贾春琳,11.65%
盛通股份,002599,贾子成,3.56%
盛通股份,002599,易米基金-贾子裕-易米基金元盛一号单一资产管理计划,1.81%
盛通股份,002599,北京盛通印刷股份有限公司-第四期员工持股计划,1.75%
盛通股份,002599,长安国际信托股份有限公司-长安盛世·嘉泽恩传家族信托,1.72%
盛通股份,002599,贾则平,1.60%
盛通股份,002599,周炜,1.30%
盛通股份,002599,中国银行股份有限公司-大成中小盘混合型证券投资基金(LOF),0.75%
盛通股份,002599,中国太平洋人寿保险股份有限公司-中国太平洋人寿股票相对收益型产品(寿自营)委托投资,0.67%
中锐股份,002374,苏州睿畅投资管理有限公司,17.72%
中锐股份,002374,孙鲲鹏,1.83%
中锐股份,002374,张忠民,1.24%
中锐股份,002374,赵荣全,1.10%
中锐股份,002374,汤于,0.86%
中锐股份,002374,沈金龙,0.84%
中锐股份,002374,西藏坤德信息技术有限公司,0.68%
中锐股份,002374,徐航,0.65%
中锐股份,002374,张琼芳,0.61%
中锐股份,002374,梁婷,0.59%
上海易连,600836,杭州浙发易连商务管理合伙企业(有限合伙),19.48%
上海易连,600836,湖南邕兴私募基金管理有限公司-邕兴文远价值成长私募证券投资基金,5.24%
珠海中富,000659,陕西新丝路进取一号投资合伙企业(有限合伙),15.71%
珠海中富,000659,王宫傲,5.00%
劲嘉股份,002191,深圳市劲嘉创业投资有限公司,31.48%
劲嘉股份,002191,新疆世纪运通股权投资合伙企业(有限合伙),2.68%
劲嘉股份,002191,香港中央结算有限公司,1.68%
劲嘉股份,002191,济南泰汇顺企业管理合伙企业(有限合伙),1.46%
劲嘉股份,002191,全国社保基金五零三组合,1.43%
劲嘉股份,002191,黄华,1.06%
劲嘉股份,002191,国寿养老策略4号股票型养老金产品-中国工商银行股份有限公司,0.52%
劲嘉股份,002191,侯旭东,0.48%
劲嘉股份,002191,李德华,0.47%
劲嘉股份,002191,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.44%
大胜达,603687,杭州新胜达投资有限公司,64.14%
大胜达,603687,贾马杰,0.62%
大胜达,603687,王礼永,0.56%
大胜达,603687,余涓涓,0.28%
大胜达,603687,张建兵,0.26%
大胜达,603687,杨小雪,0.24%
大胜达,603687,陈纲,0.22%
大胜达,603687,郑永灵,0.21%
大胜达,603687,杨建民,0.20%
大胜达,603687,吴锡松,0.20%
中荣股份,301223,中榮印刷集團有限公司,42.00%
中荣股份,301223,珠海横琴捷昇投资合伙企业(有限合伙),30.74%
中荣股份,301223,深圳恒瑞驰投资管理有限公司-常州洹驰股权投资基金管理合伙企业(有限合伙),2.25%
中荣股份,301223,张秀,0.30%
中荣股份,301223,江阴金汇投资有限公司,0.12%
中荣股份,301223,付木花,0.09%
中荣股份,301223,邹植藩,0.08%
中荣股份,301223,姜志军,0.08%
中荣股份,301223,薛金勇,0.06%
中荣股份,301223,"高华-汇丰-GOLDMAN,SACHS & CO.LLC",0.06%
紫江企业,600210,上海紫江(集团)有限公司,26.06%
紫江企业,600210,黄允革,2.76%
紫江企业,600210,香港中央结算有限公司,1.81%
紫江企业,600210,张萍英,1.59%
紫江企业,600210,上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金,0.70%
紫江企业,600210,柯维榕,0.66%
紫江企业,600210,卞伟,0.61%
紫江企业,600210,沈雯,0.40%
紫江企业,600210,周光大,0.33%
紫江企业,600210,林洪钦,0.32%
东风股份,601515,香港东风投资集团有限公司,47.26%
东风股份,601515,东捷控股有限公司,5.55%
昇兴股份,002752,昇兴控股有限公司,55.63%
昇兴股份,002752,福州昇洋发展有限公司,8.19%
昇兴股份,002752,中国工商银行股份有限公司-前海开源新经济灵活配置混合型证券投资基金,1.99%
昇兴股份,002752,睿士控股有限公司,1.89%
昇兴股份,002752,"高华-汇丰-GOLDMAN,SACHS & CO.LLC",1.09%
昇兴股份,002752,唐国伟,0.68%
昇兴股份,002752,曜尊饮料(上海)有限公司,0.41%
昇兴股份,002752,广发证券股份有限公司-博道成长智航股票型证券投资基金,0.36%
昇兴股份,002752,UBS AG,0.23%
昇兴股份,002752,香港中央结算有限公司,0.21%
佳合科技,872392,董洪江,26.50%
佳合科技,872392,陈玉传,17.55%
佳合科技,872392,张毅,16.18%
佳合科技,872392,段晓勇,5.64%
佳合科技,872392,苏州扬帆智盈私募基金管理有限公司-智盈嘉恒2号私募证券投资基金,4.90%
佳合科技,872392,昆山宏佳共创企业管理中心(有限合伙),4.77%
佳合科技,872392,昆山佳运源企业管理中心(有限合伙),3.58%
佳合科技,872392,熊勇,0.59%
佳合科技,872392,滕海滨,0.52%
佳合科技,872392,王东,0.29%
海顺新材,300501,林武辉,29.98%
海顺新材,300501,朱秀梅,16.65%
海顺新材,300501,霍尔果斯大甲股权投资管理合伙企业(有限合伙),2.82%
海顺新材,300501,叶子勇,1.21%
海顺新材,300501,张增荣,0.56%
海顺新材,300501,刘凯,0.56%
海顺新材,300501,盛波,0.50%
海顺新材,300501,缪海军,0.38%
海顺新材,300501,黄乔蓉,0.28%
海顺新材,300501,"JPMORGAN CHASE BANK,NATIONAL ASSOCIATION",0.28%
美盈森,002303,王海鹏,41.43%
美盈森,002303,王治军,8.95%
美盈森,002303,鞠成立,1.57%
美盈森,002303,中国国际金融股份有限公司,1.33%
美盈森,002303,中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金,1.18%
美盈森,002303,王建荣,0.59%
美盈森,002303,香港中央结算有限公司,0.37%
美盈森,002303,吴吉林,0.34%
美盈森,002303,池小贵,0.33%
美盈森,002303,王全府,0.32%
合兴包装,002228,新疆兴汇聚股权投资管理有限合伙企业,32.07%
合兴包装,002228,宏立投资有限公司,10.07%
合兴包装,002228,厦门合兴包装印刷股份有限公司回购专用证券账户,3.48%
合兴包装,002228,徐勇,1.36%
合兴包装,002228,夏平,1.20%
合兴包装,002228,张季平,1.11%
合兴包装,002228,夏光淳,1.10%
合兴包装,002228,兴证证券资管-浦发银行-兴证资管鑫众15号集合资产管理计划,1.01%
合兴包装,002228,王静,0.94%
合兴包装,002228,孙长根,0.94%
