id,name,ROE_2022,ROE_2021,ROE_2020,ROE_2019,ROE_2018,asset_liability_2022,asset_liability_2021,asset_liability_2020,asset_liability_2019,asset_liability_2018
601336,新华保险,9.29,14.22,15.36,19.41,12.25,91.93,90.38,89.88,90.39,91.06
601628,中国人寿,7.01,10.92,11.81,16.47,3.54,91.52,90.04,89.25,89.02,90.07
601601,中国太保,10.80,12.20,12.60,16.90,12.60,90.26,88.06,87.53,88.01,88.47
627,天茂集团,1.25,2.16,2.75,8.77,6.90,88.01,85.8,85.55,83.26,85.41
601319,中国人保,11.10,10.30,10.40,13.40,9.40,78.72,78.44,78.24,78.21,80.09
601318,中国平安,10.10,13.00,20.00,24.40,20.90,89.23,89.37,89.63,89.63,90.43
2787,华源控股,0.70,1.11,3.01,4.49,4.57,45.15,44.69,38.14,34.95,37.73
838163,方大新材,10.27,9.67,16.12,12.45,16.07,18.03,17.24,19.31,17.3,21.02
2599,盛通股份,0.34,4.80,-22.08,8.62,7.86,46.62,46.24,44.52,33.72,35.14
2374,中锐股份,-40.50,-27.92,-7.30,1.40,-28.31,65.67,55.47,49.79,57.18,55.25
600836,上海易连,-6.88,18.57,26.33,-11.29,-1.34,42.92,41.88,46.73,74.51,73.09
659,珠海中富,-38.13,4.48,-27.70,2.61,3.10,85.01,78.44,78.0,72.35,75.58
2191,劲嘉股份,2.46,13.49,11.45,13.06,5.82,18.61,21.57,15.14,16.62,17.45
603687,大胜达,5.30,5.28,17.12,8.78,14.85,34.33,33.87,37.06,32.02,47.0
301223,中荣股份,13.31,17.75,17.98,19.03,14.91,27.79,47.29,53.17,53.78,57.54
600210,紫江企业,10.88,10.16,11.06,10.30,9.91,50.95,51.11,49.16,52.07,54.65
601515,东风股份,5.04,16.54,12.97,10.26,18.34,26.46,22.75,27.86,30.75,26.93
2752,昇兴股份,7.12,5.59,-0.46,2.51,2.38,61.3,59.63,60.73,59.89,49.12
872392,佳合科技,14.21,21.72,31.75,29.56,28.85,20.84,32.16,37.21,47.67,43.82
300501,海顺新材,6.60,10.36,13.86,10.08,10.58,27.15,29.97,37.64,38.26,24.15
2303,美盈森,2.78,2.07,3.96,11.72,9.16,32.83,33.48,32.35,27.83,28.1
2228,合兴包装,3.94,6.39,8.98,9.32,8.79,59.08,61.09,53.38,49.45,56.89
2014,永新股份,17.01,15.90,16.19,15.17,12.78,34.93,27.85,31.24,25.56,26.16
2701,奥瑞金,7.03,12.13,13.02,10.80,4.11,50.47,53.47,54.85,59.45,58.22
301296,新巨丰,10.73,14.76,17.95,13.54,11.39,17.54,33.57,32.12,33.39,37.24
2799,环球印务,11.22,14.89,15.63,11.59,5.28,35.31,48.43,50.2,51.54,42.61
2951,ST金时,-2.16,3.70,13.92,14.35,23.34,11.14,9.53,16.25,13.04,13.03
301062,上海艾录,10.06,16.73,15.66,10.16,8.90,41.68,38.58,40.86,39.79,32.1
601968,宝钢包装,7.31,8.24,6.80,5.86,2.06,52.35,54.41,43.74,46.56,60.55
2969,嘉美包装,0.72,7.42,1.65,10.05,11.53,46.94,49.54,41.05,45.18,53.16
2735,王子新材,7.71,10.46,10.86,9.25,9.01,47.18,41.29,42.6,38.23,38.27
812,陕西金叶,3.69,1.91,1.56,1.86,1.64,55.89,54.27,48.87,51.32,46.21
2565,顺灏股份,-3.16,-1.46,0.40,-9.90,4.30,29.98,26.61,29.21,29.91,36.92
603022,新通联,5.00,3.03,5.48,4.74,5.18,26.84,47.72,25.74,24.95,24.68
3003,天元股份,-0.28,2.13,6.93,11.75,12.98,27.43,34.17,22.77,24.88,23.32
