industry,id,name,market_value
保险,601336,新华保险,1466.19
保险,601628,中国人寿,10740.59
保险,601601,中国太保,2918.81
保险,627,天茂集团,175.39
保险,601319,中国人保,2825.91
保险,601318,中国平安,9543.98
包装材料,2787,华源控股,23.83
包装材料,838163,方大新材,7.29
包装材料,2599,盛通股份,37.31
包装材料,2374,中锐股份,45.69
包装材料,600836,上海易连,32.78
包装材料,659,珠海中富,42.43
包装材料,2191,劲嘉股份,100.61
包装材料,603687,大胜达,40.69
包装材料,301223,中荣股份,37.47
包装材料,600210,紫江企业,80.84
包装材料,601515,东风股份,82.93
包装材料,2752,昇兴股份,47.97
包装材料,872392,佳合科技,3.66
包装材料,300501,海顺新材,30.66
包装材料,2303,美盈森,53.14
包装材料,2228,合兴包装,41.49
包装材料,2014,永新股份,53.72
包装材料,2701,奥瑞金,121.46
包装材料,301296,新巨丰,66.99
包装材料,2799,环球印务,33.7
包装材料,2951,ST金时,29.4
包装材料,301062,上海艾录,40.8
包装材料,601968,宝钢包装,79.43
包装材料,2969,嘉美包装,39.73
包装材料,2735,王子新材,41.24
包装材料,812,陕西金叶,43.2
包装材料,2565,顺灏股份,35.51
包装材料,603022,新通联,19.86
包装材料,3003,天元股份,19.73
包装材料,2846,英联股份,42.02
半导体,688041,海光信息,1471.07
半导体,688372,伟测科技,115.29
半导体,688153,唯捷创芯,285.86
半导体,688458,美芯晟,67.86
半导体,688595,芯海科技,49.12
半导体,688107,安路科技,208.48
半导体,300661,圣邦股份,425.27
半导体,688047,龙芯中科,406.41
半导体,688052,纳芯微,213.03
半导体,688002,睿创微纳,209.92
半导体,688478,晶升股份,62.32
半导体,603893,瑞芯微,316.65
半导体,688391,钜泉科技,53.8
半导体,688536,思瑞浦,291.04
半导体,688120,华海清科,337.72
半导体,603501,韦尔股份,1266.86
半导体,688766,普冉股份,85.54
半导体,688396,华润微,735.56
半导体,688259,创耀科技,49.58
半导体,300672,国科微,170.06
半导体,688018,乐鑫科技,96.09
半导体,688798,艾为电子,164.33
半导体,688012,中微公司,895.52
半导体,300613,富瀚微,127.41
半导体,688325,赛微微电,33.75
半导体,688256,寒武纪-U,700.75
半导体,1270,铖昌科技,133.76
半导体,688380,中微半导,116.47
半导体,688213,思特威-W,200.33
半导体,300458,全志科技,165.93
半导体,300671,富满微,85.81
半导体,688008,澜起科技,648.1
半导体,688270,臻镭科技,82.18
半导体,603160,汇顶科技,246.95
半导体,603290,斯达半导,368.95
半导体,605358,立昂微,260.32
半导体,600460,士兰微,431.19
半导体,688620,安凯微,53.9
半导体,688249,晶合集成,392.0
半导体,2049,紫光国微,802.72
半导体,300327,中颖电子,98.71
半导体,2371,北方华创,1503.86
半导体,688981,中芯国际,4035.09
半导体,688699,明微电子,53.14
半导体,603986,兆易创新,761.08
半导体,430139,华岭股份,28.17
半导体,688508,芯朋微,73.23
半导体,688141,杰华特,149.03
半导体,688409,富创精密,186.73
半导体,688512,慧智微-U,86.75
半导体,600360,华微电子,67.41
半导体,670,盈方微,52.26
半导体,300623,捷捷微电,139.18
半导体,600171,上海贝岭,124.99
半导体,688601,力芯微,56.62
半导体,688608,恒玄科技,152.17
半导体,688234,天岳先进,282.45
半导体,600584,长电科技,594.19
半导体,688220,翱捷科技-U,321.26
半导体,688469,中芯集成-U,398.14
半导体,300046,台基股份,40.01
半导体,2079,苏州固锝,102.04
半导体,688432,有研硅,185.77
半导体,688200,华峰测控,206.65
半导体,603068,博通集成,43.04
半导体,688484,南芯科技,167.42
半导体,300456,赛微电子,158.29
半导体,688439,振华风光,193.9
半导体,688099,晶晨股份,364.9
半导体,688230,芯导科技,50.56
半导体,688146,中船特气,207.64
半导体,688589,力合微,40.9
半导体,2119,康强电子,50.93
半导体,300077,国民技术,80.48
半导体,688209,英集芯,69.8
半导体,688138,清溢光电,52.51
半导体,688711,宏微科技,86.15
半导体,2185,华天科技,304.43
半导体,688332,中科蓝讯,84.79
半导体,688361,中科飞测-U,244.16
半导体,300373,扬杰科技,232.34
半导体,688049,炬芯科技,38.63
半导体,688037,芯源微,210.63
半导体,688689,银河微电,32.69
半导体,688172,燕东微,262.6
半导体,2156,通富微电,334.88
半导体,605111,新洁能,123.78
半导体,603933,睿能科技,35.41
半导体,688403,汇成股份,89.16
半导体,1309,德明利,81.2
半导体,688368,晶丰明源,80.3
半导体,688123,聚辰股份,87.65
半导体,688381,帝奥微,75.61
半导体,3026,中晶科技,38.74
半导体,688352,颀中科技,156.48
半导体,688167,炬光科技,89.01
半导体,600877,电科芯片,164.6
半导体,300493,润欣科技,41.88
半导体,300666,江丰电子,170.68
半导体,688486,龙迅股份,63.98
半导体,688126,沪硅产业,567.64
半导体,300053,航宇微,82.23
半导体,301095,广立微,145.04
半导体,688728,格科微,409.57
半导体,300782,卓胜微,660.63
半导体,300812,易天股份,30.56
半导体,688130,晶华微,28.29
半导体,300042,朗科科技,72.28
半导体,301297,富乐德,68.22
半导体,688216,气派科技,25.66
半导体,688252,天德钰,75.3
半导体,688286,敏芯股份,28.68
半导体,688135,利扬芯片,40.93
半导体,688045,必易微,34.61
半导体,300139,晓程科技,26.93
半导体,688233,神工股份,52.16
半导体,688661,和林微纳,51.5
半导体,688173,希荻微,83.18
半导体,688048,长光华芯,126.25
半导体,300223,北京君正,392.72
半导体,688262,国芯科技,118.17
半导体,688593,新相微,75.87
半导体,301369,联动科技,50.66
半导体,605588,冠石科技,29.05
半导体,688279,峰岹科技,98.83
半导体,300604,长川科技,254.9
半导体,688515,裕太微-U,114.48
半导体,688110,东芯股份,145.94
半导体,603005,晶方科技,143.9
半导体,688072,拓荆科技,431.93
半导体,688416,恒烁股份,50.33
半导体,688535,华海诚科,70.5
半导体,688261,东微半导,122.52
半导体,688521,芯原股份,343.16
半导体,2077,大港股份,90.82
半导体,300831,派瑞股份,39.36
半导体,688385,复旦微电,440.83
半导体,301308,江波龙,367.57
半导体,300706,阿石创,39.51
半导体,688362,甬矽电子,130.94
半导体,688498,源杰科技,161.07
半导体,688525,佰维存储,291.16
半导体,301050,雷电微力,104.02
半导体,688061,灿瑞科技,50.57
半导体,603061,金海通,61.67
玻璃玻纤,603601,再升科技,48.22
玻璃玻纤,601865,福莱特,811.68
玻璃玻纤,301188,力诺特玻,32.89
玻璃玻纤,300093,金刚光伏,49.25
玻璃玻纤,600876,凯盛新能,107.44
玻璃玻纤,2080,中材科技,384.63
玻璃玻纤,900918,耀皮Ｂ股,3.18
玻璃玻纤,835179,凯德石英,16.36
玻璃玻纤,605006,山东玻纤,48.3
玻璃玻纤,2163,海南发展,88.97
玻璃玻纤,12,南 玻Ａ,189.46
玻璃玻纤,2613,北玻股份,45.17
玻璃玻纤,600586,金晶科技,113.02
玻璃玻纤,2201,正威新材,65.29
玻璃玻纤,600660,福耀玻璃,981.0
玻璃玻纤,601636,旗滨集团,244.47
玻璃玻纤,301051,信濠光电,72.29
玻璃玻纤,603256,宏和科技,71.22
玻璃玻纤,600176,中国巨石,592.46
玻璃玻纤,300196,长海股份,58.12
