name,gender,age,education
张泓,男,59,本科
李全,男,60,硕士
龚兴峰,男,53,硕士
王练文,男,55,博士
杨征,男,53,硕士
秦泓波,男,,博士
胡爱民,男,50,本科
李琦强,男,52,硕士
杨毅,男,50,硕士
杨雪,女,49,硕士
何兴达,男,44,硕士
耿建新,男,69,博士
马耀添,男,69,博士
郭永清,男,49,博士
赖观荣,男,61,博士
徐徐,女,45,博士
刘德斌,男,56,硕士
余建南,男,50,本科
汪中柱,男,56,本科
刘崇松,男,58,硕士
白涛,男,60,博士
赵鹏,男,51,硕士
刘晖,女,53,硕士
黄秀美,女,56,本科
詹忠,男,55,本科
杨红,女,56,硕士
阮琦,男,57,硕士
利明光,男,54,硕士
赵国栋,男,56,大学学历
赵峰,男,51,本科
盛和泰,男,53,博士
吴少华,男,59,硕士
王军辉,男,52,博士
卓美娟,女,59,硕士
于胜全,男,58,硕士
林志权,男,70,大学学历
陈洁,女,53,博士
黄益平,男,59,博士
翟海涛,男,54,硕士
曹伟清,男,58,硕士
牛凯龙,男,49,博士
来军,男,59,本科
叶映兰,女,49,博士
刘凤基,男,54,硕士
许崇苗,男,54,博士
刘月进,男,56,本科
胡锦,女,52,硕士
白凯,男,49,硕士
孔庆伟,男,63,硕士
傅帆,男,59,硕士
黄迪南,男,57,硕士
俞斌,男,54,硕士
马欣,男,50,硕士
苏少军,男,55,博士
吴俊豪,男,58,硕士
路巧玲,女,57,硕士
陈然,男,39,本科
周东辉,男,54,本科
John Robert Dacey,男,63,硕士
王他竽,男,53,硕士
姜旭平,男,68,硕士
罗婉文,女,69,本科
刘晓丹,女,51,硕士
林婷懿,女,59,硕士
陈继忠,男,67,硕士
朱永红,男,54,博士
季正荣,男,60,大学学历
鲁宁,男,55,本科
顾强,男,56,硕士
张毓华,男,56,硕士
戎国强,男,61,硕士
张远瀚,男,56,硕士
孙培坚,男,60,硕士
盛亚峰,男,58,博士
陈巍,男,56,硕士
周晓楠,男,57,硕士
刘益谦,男,60,中学学历
周文霞,女,51,硕士
陈大力,男,56,本科
龙飞,男,44,本科
徐翔,男,53,大专
张晓苗,男,47,硕士
姜海华,男,57,硕士
沈坚强,男,51,大专
夏炎,男,39,本科
卢俊,女,51,硕士
王廷科,男,58,博士
