name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity
新华保险,保险,1466.19,14.106,90.728,8.2,9.4
中国人寿,保险,10740.59,9.95,89.97999999999999,9.4,14.2
中国太保,保险,2918.81,13.02,88.46600000000001,10.0,13.6
天茂集团,保险,175.39,4.366,85.606,7.6,4.6
中国人保,保险,2825.91,10.919999999999998,78.73999999999998,7.6,9.4
中国平安,保险,9543.98,17.68,89.658,7.6,17.200000000000003
华源控股,包装材料,23.83,2.776,40.132,4.0,4.6
方大新材,包装材料,7.29,12.916000000000002,18.58,4.6,7.4
盛通股份,包装材料,37.31,-0.0919999999999996,41.248000000000005,4.6,7.2
中锐股份,包装材料,45.69,-20.526,56.672,4.0,6.4
上海易连,包装材料,32.78,5.077999999999999,55.826,0.8,5.4
珠海中富,包装材料,42.43,-11.128000000000002,77.87599999999999,0.8,6.2
劲嘉股份,包装材料,100.61,9.256,17.878,6.4,8.8
大胜达,包装材料,40.69,10.266000000000002,36.856,4.0,7.0
中荣股份,包装材料,37.47,16.596,47.914,5.2,6.800000000000001
紫江企业,包装材料,80.84,10.462,51.588,5.2,9.2
东风股份,包装材料,82.93,12.63,26.95,0.8,1.6
昇兴股份,包装材料,47.97,3.428,58.134,7.0,6.6000000000000005
佳合科技,包装材料,3.66,25.218,36.34,4.6,7.0
海顺新材,包装材料,30.66,10.296,31.434,4.6,6.800000000000001
美盈森,包装材料,53.14,5.938000000000001,30.918,6.4,5.0
合兴包装,包装材料,41.49,7.484,55.978,4.6,7.4
永新股份,包装材料,53.72,15.410000000000002,29.148000000000003,5.2,13.0
奥瑞金,包装材料,121.46,9.418,55.29200000000001,5.8,11.0
新巨丰,包装材料,66.99,13.674,30.772,4.6,7.8
环球印务,包装材料,33.7,11.722,45.618,7.0,6.6
ST金时,包装材料,29.4,10.63,12.598,5.2,6.000000000000001
上海艾录,包装材料,40.8,12.302,38.602,0.4,5.8
宝钢包装,包装材料,79.43,6.054,51.522000000000006,2.8,6.4
嘉美包装,包装材料,39.73,6.274000000000001,47.17399999999999,0.8,6.800000000000001
王子新材,包装材料,41.24,9.458,41.514,4.6,6.6000000000000005
陕西金叶,包装材料,43.2,2.132,51.312,4.6,6.6
顺灏股份,包装材料,35.51,-1.964,30.526,5.2,10.0
新通联,包装材料,19.86,4.686,29.986,5.2,7.2
天元股份,包装材料,19.73,6.702000000000001,26.514,5.2,6.000000000000001
英联股份,包装材料,42.02,5.890000000000001,56.008,4.0,6.4
海光信息,半导体,1471.07,0.6079999999999999,37.146,5.8,9.0
伟测科技,半导体,115.29,14.167999999999996,39.49400000000001,5.2,8.0
唯捷创芯,半导体,285.86,-12.498,41.308,5.2,7.0
美芯晟,半导体,67.86,-1.0749999999999995,17.4375,4.6,6.2
芯海科技,半导体,49.12,12.758,22.302,5.8,8.0
安路科技,半导体,208.48,0.4899999999999999,25.38,3.6000000000000005,10.0
圣邦股份,半导体,425.27,24.138,19.696,7.6,4.2
龙芯中科,半导体,406.41,15.158,28.55,2.6,7.8
纳芯微,半导体,213.03,14.304000000000002,22.61,1.2000000000000002,6.4
睿创微纳,半导体,209.92,17.169999999999998,18.974,7.6,6.2
晶升股份,半导体,62.32,15.306666666666668,25.815,4.0,5.4
瑞芯微,半导体,316.65,15.178,15.169999999999998,1.2000000000000002,7.6
钜泉科技,半导体,53.8,22.818000000000005,21.064,4.6,6.800000000000001
思瑞浦,半导体,291.04,16.452,13.816000000000004,7.0,9.2
华海清科,半导体,337.72,-116.0875,70.826,1.2000000000000002,9.2
韦尔股份,半导体,1266.86,16.606,50.164,5.8,7.4
普冉股份,半导体,85.54,23.308,25.594,5.8,6.000000000000001
创耀科技,半导体,49.58,50.324,53.008,5.2,7.6
国科微,半导体,170.06,8.883999999999999,49.34,1.8000000000000005,6.800000000000001
乐鑫科技,半导体,96.09,15.542000000000002,12.24,7.6,4.4
艾为电子,半导体,164.33,18.824,41.458,4.6,6.4
中微公司,半导体,895.52,9.066,25.122000000000003,0.8,11.8
富瀚微,半导体,127.41,12.604,17.54,5.2,7.2
赛微微电,半导体,33.75,22.424,19.57,4.6,5.6000000000000005
寒武纪-U,半导体,700.75,-19.42,26.146,6.4,8.2
铖昌科技,半导体,133.76,28.574,12.972,5.2,8.0
中微半导,半导体,116.47,34.946000000000005,24.7,5.8,6.800000000000001
思特威-W,半导体,200.33,334.256,63.822,5.6000000000000005,9.0
全志科技,半导体,165.93,9.534,15.720000000000002,5.2,6.6000000000000005
富满微,半导体,85.81,11.316,33.944,4.6,4.800000000000001
澜起科技,半导体,648.1,18.654,7.38,2.2,7.4
臻镭科技,半导体,82.18,-8.702000000000002,13.974,5.2,7.0
汇顶科技,半导体,246.95,17.564,19.256,7.0,6.000000000000001
斯达半导,半导体,368.95,21.890000000000004,24.732,7.6,6.6
立昂微,半导体,260.32,12.654,50.582,5.2,8.4
士兰微,半导体,431.19,11.131999999999998,51.172,8.2,10.6
安凯微,半导体,53.9,7.8825,29.207500000000003,4.6,9.2
晶合集成,半导体,392.0,-6.947999999999999,59.012,5.8,11.0
紫光国微,半导体,802.72,20.084000000000003,35.258,8.8,7.6
中颖电子,半导体,98.71,23.142000000000003,19.738000000000003,7.6,7.4
北方华创,半导体,1503.86,9.65,55.028,2.4000000000000004,13.2
明微电子,半导体,53.14,24.402,16.464,0.8,5.2
兆易创新,半导体,761.08,16.734,15.806,8.2,6.800000000000001
华岭股份,半导体,28.17,14.742,20.528,4.0,9.0
芯朋微,半导体,73.23,15.053999999999998,13.968,1.4,7.4
杰华特,半导体,149.03,18.53,61.706,6.4,6.000000000000001
富创精密,半导体,186.73,6.69,43.32600000000001,5.2,8.600000000000001
慧智微-U,半导体,86.75,-48.9725,35.515,4.0,4.8
华微电子,半导体,67.41,2.738,50.518,7.6,4.2
盈方微,半导体,52.26,-100.248,86.39000000000001,5.2,7.6
捷捷微电,半导体,139.18,13.312,22.614000000000004,5.8,6.800000000000001
上海贝岭,半导体,124.99,12.128,12.908,7.6,7.0
力芯微,半导体,56.62,17.474,19.23,0.8,7.4
恒玄科技,半导体,152.17,13.14,16.642000000000003,5.2,7.200000000000001
天岳先进,半导体,282.45,-26.69,41.648,2.6,5.8
长电科技,半导体,594.19,6.438,53.208000000000006,8.8,7.200000000000001
翱捷科技-U,半导体,321.26,-71.08,30.317999999999994,2.6,7.0
中芯集成-U,半导体,398.14,-31.5075,58.27,0.8,8.8
台基股份,半导体,40.01,-1.4920000000000002,13.94,5.2,6.2
