name,executive_num,strong_executive_num,management_capacity
新华保险,19,3.0,9.4
中国人寿,28,5.0,14.200000000000001
中国太保,28,4.0,13.600000000000001
天茂集团,10,1.0,4.6
中国人保,19,3.0,9.4
中国平安,28,10.0,17.200000000000003
华源控股,10,1.0,4.6
方大新材,14,3.0,7.4
盛通股份,15,2.0,7.2
中锐股份,13,2.0,6.4
上海易连,12,1.0,5.4
珠海中富,14,1.0,6.2
劲嘉股份,16,4.0,8.8
大胜达,13,3.0,7.0
中荣股份,14,2.0,6.800000000000001
紫江企业,14,6.0,9.2
东风股份,4,0.0,1.6
昇兴股份,12,3.0,6.6000000000000005
佳合科技,13,3.0,7.0
海顺新材,14,2.0,6.800000000000001
美盈森,11,1.0,5.0
合兴包装,14,3.0,7.4
永新股份,22,7.0,13.0
奥瑞金,17,7.0,11.0
新巨丰,18,1.0,7.8
环球印务,15,1.0,6.6
ST金时,12,2.0,6.000000000000001
上海艾录,13,1.0,5.8
宝钢包装,16,0.0,6.4
嘉美包装,14,2.0,6.800000000000001
王子新材,12,3.0,6.6000000000000005
陕西金叶,15,1.0,6.6
顺灏股份,19,4.0,10.0
新通联,15,2.0,7.2
天元股份,12,2.0,6.000000000000001
英联股份,13,2.0,6.4
海光信息,18,3.0,9.0
伟测科技,14,4.0,8.0
唯捷创芯,16,1.0,7.0
美芯晟,14,1.0,6.2
芯海科技,14,4.0,8.0
安路科技,16,6.0,10.0
圣邦股份,9,1.0,4.2
龙芯中科,15,3.0,7.8
纳芯微,13,2.0,6.4
睿创微纳,14,1.0,6.2
晶升股份,12,1.0,5.4
瑞芯微,13,4.0,7.6
钜泉科技,14,2.0,6.800000000000001
思瑞浦,14,6.0,9.2
华海清科,20,2.0,9.2
韦尔股份,14,3.0,7.4
普冉股份,12,2.0,6.000000000000001
创耀科技,16,2.0,7.6000000000000005
国科微,11,4.0,6.800000000000001
乐鑫科技,11,0.0,4.4
艾为电子,13,2.0,6.4
中微公司,19,7.0,11.8
富瀚微,15,2.0,7.2
赛微微电,11,2.0,5.6000000000000005
寒武纪-U,16,3.0,8.2
铖昌科技,14,4.0,8.0
中微半导,14,2.0,6.800000000000001
思特威-W,15,5.0,9.0
全志科技,12,3.0,6.6000000000000005
富满微,12,0.0,4.800000000000001
澜起科技,14,3.0,7.4
臻镭科技,13,3.0,7.0
汇顶科技,12,2.0,6.000000000000001
斯达半导,15,1.0,6.6
立昂微,15,4.0,8.4
士兰微,19,5.0,10.600000000000001
安凯微,14,6.0,9.2
晶合集成,23,3.0,11.0
紫光国微,16,2.0,7.6000000000000005
中颖电子,14,3.0,7.4
北方华创,21,8.0,13.2
明微电子,13,0.0,5.2
兆易创新,14,2.0,6.800000000000001
华岭股份,15,5.0,9.0
芯朋微,14,3.0,7.4
杰华特,12,2.0,6.000000000000001
富创精密,14,5.0,8.600000000000001
慧智微-U,9,2.0,4.8
华微电子,9,1.0,4.2
盈方微,13,4.0,7.6
捷捷微电,14,2.0,6.800000000000001
上海贝岭,13,3.0,7.0
力芯微,14,3.0,7.4
恒玄科技,12,4.0,7.200000000000001
天岳先进,13,1.0,5.8
长电科技,12,4.0,7.200000000000001
翱捷科技-U,13,3.0,7.0
中芯集成-U,16,4.0,8.8
台基股份,14,1.0,6.2
苏州固锝,11,2.0,5.6000000000000005
有研硅,13,5.0,8.2
华峰测控,15,1.0,6.6
博通集成,12,3.0,6.6000000000000005
南芯科技,13,2.0,6.4
赛微电子,14,2.0,6.800000000000001
振华风光,16,2.0,7.6000000000000005
晶晨股份,9,1.0,4.2
芯导科技,11,2.0,5.6000000000000005
中船特气,18,3.0,9.0
力合微,14,5.0,8.600000000000001
康强电子,17,4.0,9.200000000000001
国民技术,13,3.0,7.0
英集芯,11,1.0,5.0
清溢光电,15,4.0,8.4
宏微科技,16,3.0,8.2
华天科技,13,5.0,8.2
中科蓝讯,10,1.0,4.6
中科飞测-U,13,1.0,5.8
扬杰科技,19,2.0,8.8
炬芯科技,13,2.0,6.4
芯源微,19,4.0,10.0
银河微电,13,2.0,6.4
燕东微,22,5.0,11.8
通富微电,15,4.0,8.4
新洁能,16,3.0,8.2
睿能科技,12,2.0,6.000000000000001
汇成股份,16,3.0,8.2
德明利,12,1.0,5.4
晶丰明源,12,2.0,6.000000000000001
聚辰股份,11,2.0,5.6000000000000005
帝奥微,10,1.0,4.6
