name,shareholder_num,strong_shareholder_num,shareholder_capacity
新华保险,10,7.0,8.2
中国人寿,10,9.0,9.399999999999999
中国太保,10,10.0,10.0
天茂集团,10,6.0,7.6
中国人保,10,6.0,7.6
中国平安,10,6.0,7.6
华源控股,10,0.0,4.0
方大新材,10,1.0,4.6
盛通股份,10,1.0,4.6
中锐股份,10,0.0,4.0
上海易连,2,0.0,0.8
珠海中富,2,0.0,0.8
劲嘉股份,10,4.0,6.4
大胜达,10,0.0,4.0
中荣股份,10,2.0,5.2
紫江企业,10,2.0,5.2
东风股份,2,0.0,0.8
昇兴股份,10,5.0,7.0
佳合科技,10,1.0,4.6
海顺新材,10,1.0,4.6
美盈森,10,4.0,6.4
合兴包装,10,1.0,4.6
永新股份,10,2.0,5.2
奥瑞金,10,3.0,5.8
新巨丰,10,1.0,4.6
环球印务,10,5.0,7.0
ST金时,10,2.0,5.2
上海艾录,1,0.0,0.4
宝钢包装,4,2.0,2.8
嘉美包装,2,0.0,0.8
王子新材,10,1.0,4.6
陕西金叶,10,1.0,4.6
顺灏股份,10,2.0,5.2
新通联,10,2.0,5.2
天元股份,10,2.0,5.2
英联股份,10,0.0,4.0
海光信息,10,3.0,5.8
伟测科技,10,2.0,5.2
唯捷创芯,10,2.0,5.2
美芯晟,10,1.0,4.6
芯海科技,10,3.0,5.8
安路科技,6,2.0,3.6000000000000005
圣邦股份,10,6.0,7.6
龙芯中科,5,1.0,2.6
纳芯微,3,0.0,1.2000000000000002
睿创微纳,10,6.0,7.6
晶升股份,10,0.0,4.0
瑞芯微,3,0.0,1.2000000000000002
钜泉科技,10,1.0,4.6
思瑞浦,10,5.0,7.0
华海清科,3,0.0,1.2000000000000002
韦尔股份,10,3.0,5.8
普冉股份,10,3.0,5.8
创耀科技,10,2.0,5.2
国科微,3,1.0,1.8000000000000003
乐鑫科技,10,6.0,7.6
艾为电子,10,1.0,4.6
中微公司,2,0.0,0.8
富瀚微,10,2.0,5.2
赛微微电,10,1.0,4.6
寒武纪-U,10,4.0,6.4
铖昌科技,10,2.0,5.2
中微半导,10,3.0,5.8
思特威-W,11,2.0,5.6000000000000005
全志科技,10,2.0,5.2
富满微,10,1.0,4.6
澜起科技,4,1.0,2.2
臻镭科技,10,2.0,5.2
汇顶科技,10,5.0,7.0
斯达半导,10,6.0,7.6
立昂微,10,2.0,5.2
士兰微,10,7.0,8.2
