name,strong_shareholder_num
平安银行,6
东方证券,6
泸州老窖,8
中联重科,3
中国电影,6
上海机场,8
国泰君安,10
春秋航空,5
光大银行,7
新华保险,7
上港集团,7
新城控股,6
华能国际,8
华域汽车,9
中国太保,10
国投电力,5
中国铁建,13
粤电力Ａ,6
中远海控,8
雅戈尔,1
中国电建,9
立讯精密,8
申万宏源,9
双汇发展,8
万 科Ａ,6
国投资本,7
白云山,8
中国银行,9
中国能建,6
中国国航,7
五 粮 液,9
农业银行,8
中国中免,8
中金黄金,6
南京银行,4
重庆水务,6
用友网络,4
三一重工,7
同花顺,6
中国石化,8
绿地控股,5
东方明珠,5
长江电力,4
青岛啤酒,9
同仁堂,9
交通银行,9
兴业银行,5
宁波港,6
中国交建,9
中国中铁,15
宝钢股份,7
浦发银行,7
中国中车,14
大秦铁路,17
川投能源,6
中国平安,6
上汽集团,8
伊利股份,6
华兰生物,6
洋河股份,4
上海建工,6
南方航空,6
君正集团,4
工商银行,10
恒瑞医药,6
兴业证券,4
潍柴动力,5
光大证券,16
海澜之家,5
贵州茅台,6
中航西飞,7
福耀玻璃,4
中国铝业,7
中国核电,8
陆家嘴,7
长安汽车,9
中煤能源,7
江西铜业,4
建设银行,8
中国东航,5
华东医药,8
海通证券,8
保利发展,7
安迪苏,5
万华化学,5
国信证券,8
航天信息,6
中国建筑,9
广发证券,8
中海油服,9
海尔智家,4
南山铝业,6
天齐锂业,9
中国中冶,15
复星医药,8
浦东金桥,8
海螺水泥,6
金风科技,6
华夏银行,16
海天味业,2
大华股份,6
上海医药,6
上海电气,6
国元证券,4
方正证券,7
山东黄金,5
东兴证券,5
金隅集团,7
河钢股份,4
中国银河,5
中航产融,6
歌尔股份,4
中国重工,7
招商蛇口,9
中国人寿,9
三环集团,6
金地集团,7
片仔癀,3
陕西煤业,6
华泰证券,7
国电电力,15
TCL科技,7
大族激光,6
华侨城Ａ,8
招商证券,6
新湖中宝,4
中国神华,9
格力电器,3
环旭电子,6
包钢股份,6
恒生电子,4
美的集团,6
中国石油,6
长城汽车,9
紫金矿业,8
国电南瑞,6
卓胜微,1
建发股份,9
四川双马,6
远光软件,4
鸣志电器,3
中钢国际,5
圣农发展,5
兴森科技,5
威胜信息,3
合肥城建,3
浙商证券,4
涪陵电力,5
谱尼测试,5
航天宏图,6
新风光,2
上峰水泥,2
掌趣科技,6
太平洋,4
汇川技术,1
新奥股份,4
润丰股份,5
重庆百货,5
尔康制药,2
宝信软件,6
中国软件,9
克来机电,5
中颖电子,6
江中药业,7
百隆东方,3
光弘科技,2
北大荒,5
玲珑轮胎,8
风范股份,1
深深房Ａ,2
四方股份,4
三钢闽光,2
南京高科,8
维信诺,2
中国人保,6
中工国际,3
中船科技,4
雅化集团,6
国恩股份,5
特变电工,11
福斯特,6
三七互娱,2
五洲新春,1
奥瑞金,3
伟星股份,5
