name,strong_executive_num
新华保险,3
中信建投,2
东兴证券,5
ST建元,4
上海电力,3
三湘印象,2
昊海生科,4
清越科技,2
北方国际,3
首都在线,2
时代电气,2
中国人寿,5
万达信息,5
中国人保,3
德邦股份,4
中国联通,2
中国太保,4
光大银行,7
东方证券,10
宝钢股份,5
海通证券,7
天茂集团,1
台基股份,1
华夏银行,10
方正证券,2
中国平安,10
平安银行,8
中国银行,3
山东黄金,3
中金公司,4
国信证券,4
华源控股,1
通达海,2
方大新材,3
壶化股份,3
河钢股份,2
深圳燃气,8
财达证券,2
盛通股份,2
中国科传,4
金风科技,4
中锐股份,2
东晶电子,3
蓝帆医疗,1
上海易连,1
黑牡丹,3
铜牛信息,1
真视通,2
珠海中富,1
佳云科技,3
劲嘉股份,4
卫光生物,1
建科院,4
绿色动力,1
瑞华泰,3
鹏鼎控股,3
世荣兆业,3
和而泰,5
长盈精密,3
硕贝德,2
大胜达,3
华英农业,1
奥瑞金,7
长荣股份,3
大华股份,3
润阳科技,3
中荣股份,2
融捷健康,3
奥雅股份,2
紫江企业,6
网宿科技,5
威尔泰,3
天振股份,2
仁度生物,4
风神股份,1
光明地产,2
航亚科技,3
锦江酒店,3
思源电气,2
昇兴股份,3
跃岭股份,3
王子新材,3
高能环境,6
北新建材,7
恒而达,3
开创电气,3
佳合科技,3
建研院,3
快意电梯,1
华纳药厂,2
莱克电气,3
海顺新材,2
广汇汽车,3
诺唯赞,1
上实发展,2
美盈森,1
奥 特 迅,1
合兴包装,3
福昕软件,3
垒知集团,1
凤竹纺织,3
日上集团,3
瑞达期货,1
兴业科技,2
建发股份,6
永新股份,7
中钢天源,2
东华科技,6
皖维高新,4
北化股份,2
泸州老窖,4
天味食品,2
迪瑞医疗,3
外高桥,4
西上海,3
浦发银行,11
睿创微纳,1
新巨丰,1
晨光股份,3
万东医疗,3
环球印务,1
辰欣药业,3
ST金时,2
福蓉科技,2
瑞松科技,1
上海艾录,1
泰胜风能,3
嘉美包装,2
安凯客车,5
科大讯飞,7
国元证券,6
李子园,2
金杯汽车,2
宝新能源,3
京能置业,1
陕西金叶,1
兖矿能源,5
顺灏股份,4
港通医疗,3
宣泰医药,6
红塔证券,5
昌红科技,2
罗曼股份,4
新通联,2
大众交通,8
和辉光电-U,7
上海沿浦,1
天元股份,2
中百集团,5
国光电器,4
国城矿业,3
德尔玛,2
银禧科技,2
英联股份,2
宏辉果蔬,2
美联新材,4
泰恩康,2
彩虹股份,3
海光信息,3
华东医药,5
中科曙光,5
精艺股份,6
伟测科技,4
普冉股份,2
中微半导,2
和元生物,4
恒源煤电,3
上海物贸,2
甬矽电子,5
唯捷创芯,1
北方华创,8
美芯晟,1
博通集成,3
芯海科技,4
方正科技,7
东航物流,10
炬芯科技,2
大族数控,5
安路科技,6
士兰微,5
恒玄科技,4
吉翔股份,5
盛剑环境,2
金海通,3
上海新阳,2
派瑞股份,3
景嘉微,1
华大九天,6
圣邦股份,1
郴电国际,2
*ST佳沃,2
中国黄金,6
龙芯中科,3
大元泵业,2
寒武纪-U,3
南都电源,2
纳芯微,2
德龙激光,2
思瑞浦,6
盈方微,4
晶丰明源,2
晶升股份,1
日联科技,1
瑞芯微,4
沪电股份,3
三安光电,2
正帆科技,4
慧智微-U,2
赛微电子,2
佰维存储,4
钜泉科技,2
安诺其,2
岱美股份,1
普瑞眼科,1
山鹰国际,1
紫光国微,2
芯原股份,3
复洁环保,2
江波龙,3
翱捷科技-U,3
晶晨股份,1
敏芯股份,2
峰岹科技,3
亿道信息,2
重庆路桥,4
安凯微,6
芯碁微装,5
华海清科,2
京运通,2
富创精密,5
中科飞测-U,1
路维光电,3
韦尔股份,3
安集科技,3
好上好,2
广电电气,3
东杰智能,4
老凤祥,2
上海贝岭,3
香溢融通,3
创耀科技,2
中一科技,2
中际旭创,5
国科微,4
北斗星通,3
中国软件,3
三德科技,1
思特威-W,5
芯朋微,3
艾为电子,2
开创国际,1
上海谊众,2
中微公司,7
盛美上海,4
邮储银行,4
沪硅产业,6
拓荆科技,8
澜起科技,3
中颖电子,3
富瀚微,2
赛伍技术,4
联泓新科,4
拉卡拉,3
赛微微电,2
哈森股份,2
特宝生物,2
嘉必优,2
东方园林,2
新黄浦,5
国新健康,3
铖昌科技,4
新洁能,3
共同药业,2
豪鹏科技,4
翰博高新,3
概伦电子,2
全志科技,3
宝莱特,5
世纪鼎利,3
京投发展,3
雅戈尔,3
税友股份,4
臻镭科技,3
格林达,3
长华集团,4
传音控股,2
华力创通,3
浙农股份,2
宁波联合,4
汇顶科技,2
安通控股,3
海目星,1
斯达半导,1
福莱特,1
京新药业,3
立昂微,4
仙鹤股份,4
软通动力,2
城投控股,5
东方材料,2
华天科技,5
生益科技,11
电科数字,3
协鑫集成,5
新朋股份,2
雷迪克,2
宇信科技,2
山石网科,3
中国铁物,3
中银证券,3
天德钰,3
万孚生物,2
博汇科技,4
中汽股份,4
嘉事堂,1
晶合集成,3
凯盛科技,4
奥福环保,2
颀中科技,5
丰乐种业,2
合肥百货,3
学大教育,4
彤程新材,3
建新股份,1
飞科电器,4
中原内配,2
正海生物,3
宿迁联盛,2
悦心健康,2
京东方Ａ,5
长川科技,4
德邦科技,5
三友化工,4
皮阿诺,2
兆易创新,2
航天智装,6
统一股份,2
有研硅,5
华岭股份,5
中粮资本,3
复旦复华,3
复旦微电,6
*ST天山,3
广立微,2
卓胜微,2
通富微电,4
杰华特,2
海正生材,6
天岳先进,1
裕太微-U,2
东微半导,3
芯源微,4
长光华芯,4
江苏金租,4
上海机电,6
华微电子,1
天能股份,3
日播时尚,2
常润股份,2
中核科技,6
金鹰股份,2
元琛科技,3
乾照光电,4
密尔克卫,2
南钢股份,8
捷捷微电,2
科森科技,1
测绘股份,1
天邦食品,3
艾隆科技,3
芯导科技,2
力芯微,3
润和软件,3
帝科股份,2
德科立,2
柏诚股份,1
双良节能,4
北京君正,4
恒烁股份,2
长电科技,4
三孚股份,1
中瓷电子,3
中芯集成-U,4
嘉友国际,2
奕瑞科技,4
品渥食品,2
法尔胜,3
世纪华通,4
越剑智能,2
ST富润,3
会稽山,6
振德医疗,4
苏州固锝,2
金埔园林,4
朗威股份,2
威腾电气,5
中泰股份,3
四川黄金,3
贵州轮胎,4
万润股份,4
中国长城,1
华峰测控,1
中成股份,2
南芯科技,2
优刻得-W,4
保利发展,5
蔚蓝生物,2
承德露露,3
振华风光,2
勘设股份,2
新雷能,2
飞凯材料,2
中船特气,3
鲁阳节能,2
中海油服,3
津滨发展,4
金信诺,5
力合微,5
宏柏新材,1
锦好医疗,2
气派科技,2
科创新源,1
力合科创,6
华金资本,10
康强电子,4
科威尔,2
山子股份,5
光韵达,1
国民技术,3
联得装备,3
新城市,3
数字认证,2
汇洁股份,2
智莱科技,1
深信服,2
英集芯,1
江龙船艇,2
清溢光电,4
生益电子,8
宏微科技,3
洛凯股份,3
日盈电子,2
新宏泰,3
常宝股份,2
兴森科技,5
天桥起重,2
太极实业,3
中科蓝讯,1
必易微,2
扬杰科技,2
凯德石英,2
苏奥传感,1
四创电子,3
美亚光电,2
机器人,3
银河微电,2
精研科技,2
海鸥股份,2
燕东微,5
第一创业,5
新相微,5
中航产融,5
三一重工,2
电子城,4
神马电力,2
泽宇智能,2
雅克科技,4
南京新百,3
华泰证券,9
国电南瑞,4
百川股份,3
华东重机,2
微导纳米,4
睿能科技,2
福龙马,2
富春股份,4
复旦张江,3
汇成股份,3
九华旅游,4
惠伦晶体,4
常青股份,3
德明利,1
中钨高新,3
ST金圆,3
聚辰股份,2
天壕能源,3
中电电机,4
石头科技,2
帝奥微,1
晶华微,2
中晶科技,3
远信工业,2
海兴电力,4
歌华有线,1
汉得信息,2
王府井,5
炬光科技,2
建设机械,4
苏常柴Ａ,6
ST大集,2
荣联科技,1
电科芯片,2
柳 工,3
内蒙一机,4
新大正,2
重庆银行,5
润欣科技,1
江丰电子,1
哈铁科技,3
龙迅股份,2
安徽合力,3
江淮汽车,6
安利股份,3
华安证券,3
舜禹股份,4
张江高科,3
无锡振华,2
上工申贝,7
航宇微,2
安达维尔,1
艾融软件,1
阳普医疗,3
可靠股份,3
易天股份,2
显盈科技,2
兆威机电,2
星辰科技,3
金卡智能,3
富乐德,1
铜峰电子,1
上海梅林,2
胜宏科技,3
智云股份,2
光启技术,1
*ST雪发,2
晶方科技,4
信濠光电,2
海能实业,2
