name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
奥浦迈,专业服务,61.02,-9.0,25.89,3.6,6.6,28.85,29.58,32
实朴检测,专业服务,21.18,17.54,32.32,4.0,4.8,39.73,45.92,21
百普赛斯,专业服务,82.78,28.95,9.21,4.6,5.4,53.94,67.29,3
阿拉丁,专业服务,43.23,14.84,14.02,5.2,5.6,42.65,50.31,13
优宁维,专业服务,38.08,18.6,26.68,4.0,9.4,43.48,51.56,11
谱尼测试,专业服务,113.75,14.45,25.3,7.0,4.6,48.18,58.63,5
普蕊斯,专业服务,33.56,35.07,38.29,2.0,8.6,49.73,60.95,4
信测标准,专业服务,46.6,16.7,16.52,6.4,5.6,43.81,52.05,10
广电计量,专业服务,94.57,12.15,44.98,7.6,12.6,44.38,52.91,7
永安行,专业服务,34.9,8.75,31.26,5.2,6.4,35.85,40.09,30
三联虹普,专业服务,55.19,9.28,34.36,7.6,4.0,37.3,42.27,26
华测检测,专业服务,340.77,15.93,29.14,8.2,6.4,75.71,100.0,1
安车检测,专业服务,38.65,12.9,31.96,4.6,7.0,38.76,44.47,24
西测测试,专业服务,31.65,15.96,31.49,5.2,5.6,39.96,46.27,20
泰坦科技,专业服务,76.8,13.32,33.97,0.4,6.4,41.58,48.71,15
元隆雅图,专业服务,36.15,17.53,42.15,5.8,7.2,40.35,46.86,18
中纺标,专业服务,10.49,15.68,14.96,4.6,5.8,40.53,47.12,17
国检集团,专业服务,89.48,16.98,32.23,5.8,9.2,47.12,57.03,6
航天工程,专业服务,81.63,6.29,31.63,2.2,8.6,38.69,44.36,25
*ST天沃,专业服务,26.11,-16.61,92.01,5.2,6.8,9.17,0.0,33
电科院,专业服务,40.27,6.14,46.24,1.2,8.2,31.9,34.16,31
天纺标,专业服务,6.02,20.29,11.37,4.4,6.8,43.24,51.21,12
建研院,专业服务,25.79,9.86,24.84,1.2,8.6,37.06,41.92,27
零点有数,专业服务,28.32,10.4,25.98,5.2,5.4,37.05,41.91,28
中金辐照,专业服务,44.22,10.44,15.31,4.6,9.4,40.95,47.76,16
南网能源,专业服务,246.21,10.27,56.76,6.4,9.0,60.13,76.59,2
苏试试验,专业服务,87.93,13.53,49.82,9.4,7.4,42.4,49.94,14
国义招标,专业服务,7.58,14.1,38.56,2.4,9.0,36.69,41.36,29
建科股份,专业服务,43.44,15.87,40.2,4.0,5.4,39.44,45.49,22
西高院,专业服务,54.1,10.76,33.26,7.8,7.2,39.12,45.01,23
开普检测,专业服务,21.98,20.16,10.85,4.6,5.2,44.07,52.44,9
国缆检测,专业服务,39.94,19.76,23.76,5.2,7.0,44.19,52.63,8
